* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-07-2021
* Calibration Pure Dye CY5 is expired = Yes
* Calibration Pure Dye CY5 performed on = 10-23-2020
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-07-2021
* Calibration Pure Dye HEX is expired = Yes
* Calibration Pure Dye HEX performed on = 06-01-2020
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-07-2021
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-07-2021
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-07-2021
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-07-2021
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-07-2021
* Calibration RNaseP is expired  = No
* Calibration RNaseP performed on = 04-07-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-07-2021
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-07-2021
* Chemistry = OTHER
* Date Created = 
* Experiment Barcode = 
* Experiment Comment = 
* Experiment File Name = E:\MeltCurve4sConditions.eds
* Experiment Name = MeltCurve4sConditions
* Experiment Run End Time = 2021-05-31 20:22:26 PM CEST
* Experiment Type = Melt Curve
* Instrument Name = 278860619
* Instrument Serial Number = 278860619
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* User Name = Carles Torner

[Melt Curve Raw Data]
Well	Well Position	Reading	Temperature	Fluorescence	Derivative
16	A16	43	37.578	-416.303	-5,154.555
16	A16	44	37.878	-84.409	-5,340.420
16	A16	45	38.177	-30.832	-5,614.058
16	A16	46	38.477	-140.923	-5,978.591
16	A16	47	38.776	128.387	-6,434.624
16	A16	48	39.076	171.685	-6,986.706
16	A16	49	39.375	317.080	-7,649.535
16	A16	50	39.675	636.917	-8,448.625
16	A16	51	39.974	673.526	-9,405.884
16	A16	52	40.273	624.348	-10,513.707
16	A16	53	40.573	1,025.465	-11,719.425
16	A16	54	40.872	1,239.583	-12,942.178
16	A16	55	41.172	1,437.742	-14,119.544
16	A16	56	41.471	2,030.677	-15,252.833
16	A16	57	41.771	2,236.156	-16,415.590
16	A16	58	42.070	2,327.728	-17,717.371
16	A16	59	42.370	2,601.877	-19,250.540
16	A16	60	42.669	3,115.584	-21,058.693
16	A16	61	42.969	3,545.078	-23,142.904
16	A16	62	43.268	4,020.569	-25,489.540
16	A16	63	43.568	4,374.816	-28,092.725
16	A16	64	43.867	4,961.492	-30,961.592
16	A16	65	44.167	5,601.511	-34,123.582
16	A16	66	44.466	6,127.445	-37,636.215
16	A16	67	44.766	7,146.577	-41,601.824
16	A16	68	45.065	7,834.304	-46,166.566
16	A16	69	45.365	8,510.636	-51,492.630
16	A16	70	45.664	9,500.557	-57,714.130
16	A16	71	45.964	10,569.224	-64,900.395
16	A16	72	46.263	12,101.163	-73,042.990
16	A16	73	46.563	13,120.000	-82,066.720
16	A16	74	46.862	14,769.147	-91,851.740
16	A16	75	47.162	16,967.021	-102,252.270
16	A16	76	47.461	18,740.006	-113,100.140
16	A16	77	47.760	20,995.373	-124,187.940
16	A16	78	48.060	23,461.150	-135,235.330
16	A16	79	48.359	26,267.303	-145,852.060
16	A16	80	48.659	29,205.104	-155,513.690
16	A16	81	48.958	32,501.193	-163,566.300
16	A16	82	49.258	35,559.348	-169,271.940
16	A16	83	49.557	39,471.566	-171,898.390
16	A16	84	49.857	43,145.195	-170,839.160
16	A16	85	50.156	46,671.062	-165,733.830
16	A16	86	50.456	50,100.680	-156,556.640
16	A16	87	50.755	53,053.940	-143,653.310
16	A16	88	51.055	56,043.613	-127,724.805
16	A16	89	51.354	58,161.870	-109,754.016
16	A16	90	51.654	60,113.420	-90,879.340
16	A16	91	51.953	61,169.910	-72,225.710
16	A16	92	52.253	61,971.387	-54,738.145
16	A16	93	52.552	62,390.523	-39,073.450
16	A16	94	52.852	62,968.260	-25,581.402
16	A16	95	53.151	63,071.453	-14,360.606
16	A16	96	53.451	63,114.040	-5,337.710
16	A16	97	53.750	62,447.480	1,674.352
16	A16	98	54.050	62,597.277	6,944.680
16	A16	99	54.349	62,281.555	10,797.160
16	A16	100	54.649	61,823.688	13,571.548
16	A16	101	54.948	61,586.900	15,579.067
16	A16	102	55.247	61,469.566	17,072.195
16	A16	103	55.547	60,938.266	18,235.273
16	A16	104	55.846	60,215.027	19,188.576
16	A16	105	56.146	60,422.785	19,988.621
16	A16	106	56.445	59,865.110	20,629.184
16	A16	107	56.745	59,464.008	21,058.110
16	A16	108	57.044	58,925.562	21,220.639
16	A16	109	57.344	58,239.920	21,115.076
16	A16	110	57.643	58,278.645	20,825.535
16	A16	111	57.943	57,618.766	20,506.800
16	A16	112	58.242	57,409.887	20,327.375
16	A16	113	58.542	56,982.000	20,399.790
16	A16	114	58.841	56,754.613	20,733.828
16	A16	115	59.141	56,531.465	21,233.254
16	A16	116	59.440	55,739.145	21,739.740
16	A16	117	59.740	55,374.870	22,102.404
16	A16	118	60.039	55,052.070	22,244.441
16	A16	119	60.339	54,447.430	22,194.672
16	A16	120	60.638	54,109.990	22,071.875
16	A16	121	60.938	53,542.880	22,028.390
16	A16	122	61.237	53,608.297	22,178.447
16	A16	123	61.537	52,999.586	22,541.795
16	A16	124	61.836	52,465.008	23,032.537
16	A16	125	62.136	52,193.350	23,501.629
16	A16	126	62.435	51,705.940	23,815.191
16	A16	127	62.734	51,019.285	23,926.070
16	A16	128	63.034	50,332.973	23,897.326
16	A16	129	63.333	50,279.234	23,857.709
16	A16	130	63.633	50,033.477	23,921.332
